,SENT_ID,TOKEN_ID,TOKEN,TOKEN_ORIGIN,TARGET_TYPE1,ARG1,TARGET_TYPE2,ARG2,TARGET_TYPE3,ARG3,TARGET_TYPE4,ARG4
0,1,0,"극지방,",_,_,B-Cause,-,-,-,-,-,-
1,1,1,고산지대,_,_,I-Cause,-,-,-,-,-,-
2,1,2,등의,_,_,I-Cause,-,-,-,-,-,-
3,1,3,빙하와,_,_,I-Cause,-,-,-,-,-,-
4,1,4,빙산이,_,_,I-Cause,-,-,-,-,-,-
5,1,5,유례없이,_,_,O,-,-,-,-,-,-
6,1,6,빠른,_,_,O,-,-,-,-,-,-
7,1,7,속도로,_,_,O,-,-,-,-,-,-
8,1,8,녹고,_,_,O,-,-,-,-,-,-
9,1,9,있어,_,_,O,-,-,-,-,-,-
10,1,10,지구상에,_,_,B-Place,-,-,-,-,-,-
11,1,11,큰,_,_,B-Effect,-,-,-,-,-,-
12,1,12,환경,_,_,I-Effect,-,-,-,-,-,-
13,1,13,및,_,_,I-Effect,-,-,-,-,-,-
14,1,14,기후,_,_,I-Effect,-,-,-,-,-,-
15,1,15,변화를,_,_,I-Effect,-,-,-,-,-,-
16,1,16,초래할,초래하다.v,Cause_to_start,V,-,-,-,-,-,-
17,1,17,것이라고,_,_,O,-,-,-,-,-,-
18,1,18,환경감시기구인,_,_,O,-,-,-,-,-,-
19,1,19,월드워치,_,_,O,-,-,-,-,-,-
20,1,20,인스티튜트가,_,_,O,-,-,-,-,-,-
21,1,21,6,_,_,O,-,-,-,-,-,-
22,1,22,일,_,_,O,-,-,-,-,-,-
23,1,23,경고했다.,_,_,O,-,-,-,-,-,-
24,2,0,정부는,_,_,O,-,-,-,-,-,-
25,2,1,장재룡,_,_,O,-,-,-,-,-,-
26,2,2,(장재룡),_,_,O,-,-,-,-,-,-
27,2,3,외교통상부,_,_,O,-,-,-,-,-,-
28,2,4,차관보를,_,_,O,-,-,-,-,-,-
29,2,5,20-21,_,_,O,-,-,-,-,-,-
30,2,6,일,_,_,O,-,-,-,-,-,-
31,2,7,러시아에,_,_,O,-,-,-,-,-,-
32,2,8,"파견,",_,_,O,-,-,-,-,-,-
33,2,9,한-러,_,_,B-Topic,-,-,-,-,-,-
34,2,10,간,_,_,I-Topic,-,-,-,-,-,-
35,2,11,고위,_,_,I-Topic,-,-,-,-,-,-
36,2,12,실무채널,_,_,I-Topic,-,-,-,-,-,-
37,2,13,구축,_,_,I-Topic,-,-,-,-,-,-
38,2,14,방안을,_,_,I-Topic,-,-,-,-,-,-
39,2,15,논의할,논의하다.v,Discussion,V,-,-,-,-,-,-
40,2,16,예정인,_,_,O,-,-,-,-,-,-
41,2,17,것으로,_,_,O,-,-,-,-,-,-
42,2,18,알려졌다.,_,_,O,-,-,-,-,-,-
43,3,0,지난,_,_,O,-,-,-,-,-,-
44,3,1,28,_,_,O,-,-,-,-,-,-
45,3,2,일,_,_,O,-,-,-,-,-,-
46,3,3,있었던,_,_,O,-,-,-,-,-,-
47,3,4,존,_,_,O,-,-,-,-,-,-
48,3,5,프레스코트,_,_,O,-,-,-,-,-,-
49,3,6,부총리와,_,_,O,-,-,-,-,-,-
50,3,7,리빙스턴,_,_,O,-,-,-,-,-,-
51,3,8,의원간의,_,_,O,-,-,-,-,-,-
52,3,9,2,_,_,O,-,-,-,-,-,-
53,3,10,시간에,_,_,O,-,-,-,-,-,-
54,3,11,걸친,_,_,O,-,-,-,-,-,-
55,3,12,독대는,_,_,O,-,-,-,-,-,-
